20230113 17:10:10.324 [Test worker] INFO  [SpringBootTestContextBootstrapper:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.jsol.api.entity.site.SiteQuerydslRepositoryTest], using SpringBootContextLoader 
20230113 17:10:11.401 [Test worker] INFO  [RepositoryConfigurationExtensionSupport:349] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface kr.co.jsol.domain.entity.user.UserRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table. 
20230113 17:10:11.402 [Test worker] INFO  [RepositoryConfigurationExtensionSupport:349] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface kr.co.jsol.domain.entity.ingsystem.InGSystemRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table. 
20230113 17:10:11.403 [Test worker] INFO  [RepositoryConfigurationExtensionSupport:349] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface kr.co.jsol.domain.entity.site.SiteRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table. 
20230113 17:10:11.403 [Test worker] INFO  [RepositoryConfigurationDelegate:201] - Finished Spring Data repository scanning in 16 ms. Found 0 JDBC repository interfaces. 
20230113 17:10:11.407 [Test worker] INFO  [RepositoryConfigurationDelegate:262] - Multiple Spring Data modules found, entering strict repository configuration mode 
20230113 17:10:11.407 [Test worker] INFO  [RepositoryConfigurationDelegate:132] - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
20230113 17:10:11.420 [Test worker] INFO  [RepositoryConfigurationDelegate:201] - Finished Spring Data repository scanning in 10 ms. Found 3 JPA repository interfaces. 
20230113 17:10:11.756 [Test worker] INFO  [LogHelper:31] - HHH000204: Processing PersistenceUnitInfo [name: default] 
20230113 17:10:11.775 [Test worker] INFO  [Version:44] - HHH000412: Hibernate ORM core version 5.6.10.Final 
20230113 17:10:11.836 [Test worker] INFO  [Version:56] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
20230113 17:10:11.874 [Test worker] INFO  [HikariDataSource:110] - HikariPool-1 - Starting... 
20230113 17:10:21.993 [Test worker] INFO  [HikariDataSource:123] - HikariPool-1 - Start completed. 
20230113 17:10:22.006 [Test worker] INFO  [Dialect:175] - HHH000400: Using dialect: org.hibernate.dialect.MariaDB103Dialect 
20230113 17:10:22.263 [Test worker] INFO  [JtaPlatformInitiator:52] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
20230113 17:10:22.268 [Test worker] INFO  [LocalContainerEntityManagerFactoryBean:437] - Initialized JPA EntityManagerFactory for persistence unit 'default' 
20230113 17:10:22.525 [Test worker] WARN  [JpaBaseConfiguration$JpaWebConfiguration:219] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
20230113 17:10:22.867 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/html/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.867 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/html/**'] 
20230113 17:10:22.867 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.867 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/css/**'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.868 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/js/**'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/image/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.868 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/image/**'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/v2/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.868 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/v2/api-docs'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/swagger-resources']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.868 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/swagger-resources'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/swagger-resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.868 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/swagger-resources/**'] 
20230113 17:10:22.868 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/configuration/ui']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/configuration/ui'] 
20230113 17:10:22.869 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/configuration/security']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/configuration/security'] 
20230113 17:10:22.869 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/swagger-ui.html'] 
20230113 17:10:22.869 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/webjars/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/webjars/**'] 
20230113 17:10:22.869 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/v3/api-docs/**'] 
20230113 17:10:22.869 [Test worker] WARN  [WebSecurity:305] - You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
20230113 17:10:22.869 [Test worker] INFO  [DefaultSecurityFilterChain:52] - Will not secure Ant [pattern='/swagger-ui/**'] 
20230113 17:10:22.888 [Test worker] INFO  [DefaultSecurityFilterChain:55] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@210e4678, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4548bfc7, org.springframework.security.web.context.SecurityContextPersistenceFilter@7053b64b, org.springframework.security.web.header.HeaderWriterFilter@4ce9985f, org.springframework.web.filter.CorsFilter@66297b63, org.springframework.security.web.authentication.logout.LogoutFilter@2ee949d4, kr.co.jsol.common.jwt.filter.JwtAuthenticationFilter@557c0b65, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@48a32c4f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2812368, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3b303b78, org.springframework.security.web.session.SessionManagementFilter@4945cd1f, org.springframework.security.web.access.ExceptionTranslationFilter@4f3a8e3e] 
20230113 17:10:23.335 [Test worker] WARN  [CachingModelPropertiesProvider:65] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.337 [Test worker] WARN  [CachingModelPropertiesProvider:65] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.339 [Test worker] WARN  [CachingModelPropertiesProvider:78] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.348 [Test worker] WARN  [CachingModelPropertiesProvider:65] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.349 [Test worker] WARN  [CachingModelPropertiesProvider:65] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.351 [Test worker] WARN  [CachingModelPropertiesProvider:78] - Exception calculating properties for model(kr.co.jsol.domain.entity.site.dto.response.SearchResponse) -> ModelContext{groupName=default, type=kr.co.jsol.domain.entity.site.dto.response.SearchResponse, isReturnType=true, view=Optional.empty}. Conflicting setter definitions for property "co2": kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(kr.co.jsol.domain.entity.co2.dto.Co2Dto) vs kr.co.jsol.domain.entity.site.dto.response.SearchResponse#setCo2(java.lang.Double) 
20230113 17:10:23.362 [Test worker] INFO  [SiteQuerydslRepositoryTest:61] - Started SiteQuerydslRepositoryTest in 12.94 seconds (JVM running for 13.436) 
20230113 17:10:23.535 [Test worker] INFO  [p6spy:60] - #1673597423535 | took 17ms | statement | connection 2| url jdbc:mariadb://39.112.10.37:23307/faas?user=faas&password=***&validationQuery="select 1"&serverTimezone=Asia/Seoul&zeroDateTimeBehavior=convertToNull&userSSL=false&characterEncoding=UTF-8
select co2logger0_.site_seq as col_0_0_, co2logger0_.reg_dtm as col_1_0_, co2logger0_.co2 as col_2_0_, co2logger0_.temperature as col_3_0_, co2logger0_.relative_humidity as col_4_0_ from tb_co2_logger co2logger0_ where co2logger0_.site_seq=? and (co2logger0_.reg_dtm between ? and ?)
select co2logger0_.site_seq as col_0_0_, co2logger0_.reg_dtm as col_1_0_, co2logger0_.co2 as col_2_0_, co2logger0_.temperature as col_3_0_, co2logger0_.relative_humidity as col_4_0_ from tb_co2_logger co2logger0_ where co2logger0_.site_seq=2 and (co2logger0_.reg_dtm between '2022-08-01T00:00:00.000+0900' and '2022-08-30T00:00:00.000+0900'); 
20230113 17:10:23.556 [Test worker] INFO  [p6spy:60] - #1673597423556 | took 15ms | statement | connection 3| url jdbc:mariadb://39.112.10.37:23307/faas?user=faas&password=***&validationQuery="select 1"&serverTimezone=Asia/Seoul&zeroDateTimeBehavior=convertToNull&userSSL=false&characterEncoding=UTF-8
select micro0_.site_seq as col_0_0_, micro0_.reg_dtm as col_1_0_, micro0_.temperature as col_2_0_, micro0_.relative_humidity as col_3_0_, micro0_.solar_radiation as col_4_0_, micro0_.rainfall as col_5_0_, micro0_.earth_temperature as col_6_0_, micro0_.wind_direction as col_7_0_, micro0_.wind_speed as col_8_0_ from tb_micro_station micro0_ where micro0_.site_seq=? and (micro0_.reg_dtm between ? and ?) group by date_format(micro0_.reg_dtm, ?) order by date_format(micro0_.reg_dtm, ?) desc
select micro0_.site_seq as col_0_0_, micro0_.reg_dtm as col_1_0_, micro0_.temperature as col_2_0_, micro0_.relative_humidity as col_3_0_, micro0_.solar_radiation as col_4_0_, micro0_.rainfall as col_5_0_, micro0_.earth_temperature as col_6_0_, micro0_.wind_direction as col_7_0_, micro0_.wind_speed as col_8_0_ from tb_micro_station micro0_ where micro0_.site_seq=2 and (micro0_.reg_dtm between '2022-08-01T00:00:00.000+0900' and '2022-08-30T00:00:00.000+0900') group by date_format(micro0_.reg_dtm, '%Y %c %d %H') order by date_format(micro0_.reg_dtm, '%Y %c %d %H') desc; 
20230113 17:10:23.596 [SpringApplicationShutdownHook] INFO  [LocalContainerEntityManagerFactoryBean:651] - Closing JPA EntityManagerFactory for persistence unit 'default' 
20230113 17:10:23.597 [SpringApplicationShutdownHook] INFO  [HikariDataSource:350] - HikariPool-1 - Shutdown initiated... 
20230113 17:10:32.156 [SpringApplicationShutdownHook] INFO  [HikariDataSource:352] - HikariPool-1 - Shutdown completed. 
